date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:37	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:37%20GMT	http://www.sport-spiegels.nl/cdn/fonts/jost/jost_n7.cbfc16c98c1e195f46c536e775e4e959c5f2f22b.woff	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/fonts/jost/jost_n7.cbfc16c98c1e195f46c536e775e4e959c5f2f22b.woff	(from https://www.sport-spiegels.nl/)
14:21:37	13260/13260	---M--	200	added ('OK')	font/woff2	date:Tue,%2021%20Oct%202025%2020:55:38%20GMT	https://www.sport-spiegels.nl/cdn/fonts/jost/jost_n7.cbfc16c98c1e195f46c536e775e4e959c5f2f22b.woff	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/fonts/jost/jost_n7.cbfc16c98c1e195f46c536e775e4e959c5f2f22b.woff	(from https://www.sport-spiegels.nl/)
14:21:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:37%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/base.css?v=16534392784228263581717055715	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/base07c7.css	(from https://www.sport-spiegels.nl/)
14:21:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:38%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-localization-form.css?v=120620094879297847921717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-localization-formb6d7.css	(from https://www.sport-spiegels.nl/)
14:21:38	65292/65292	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Oct%202025%2019:39:55%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/base.css?v=16534392784228263581717055715	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/base07c7.css	(from https://www.sport-spiegels.nl/)
14:21:38	8253/8253	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Oct%202025%2018:03:40%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-localization-form.css?v=120620094879297847921717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-localization-formb6d7.css	(from https://www.sport-spiegels.nl/)
14:21:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:38%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/localization-form.js?v=169565320306168926741717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/localization-form3c6a.js	(from https://www.sport-spiegels.nl/)
14:21:39	5713/5713	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2013%20Jul%202025%2013:03:10%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/localization-form.js?v=169565320306168926741717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/localization-form3c6a.js	(from https://www.sport-spiegels.nl/)
14:21:39	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:39%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-predictive-search.css?v=118923337488134913561717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-predictive-search9169.css	(from https://www.sport-spiegels.nl/)
14:21:39	4979/4979	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Oct%202025%2023:09:15%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-predictive-search.css?v=118923337488134913561717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-predictive-search9169.css	(from https://www.sport-spiegels.nl/)
14:21:39	89450/89450	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:5c546a0513b56342bbe5baf4c7ee4607%22	https://www.sport-spiegels.nl/POST	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/POST	(from https://www.sport-spiegels.nl/)
14:21:39	20610/20610	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%22cacheable:5c546a0513b56342bbe5baf4c7ee4607%22	https://www.sport-spiegels.nl/cdn	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn	(from https://www.sport-spiegels.nl/)
14:21:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:40%20GMT	http://www.sport-spiegels.nl/cdn/s/trekkie.storefront.5ad93876886aa0a32f5bade9f25632a26c6f183a.min.js	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/s/trekkie.storefront.5ad93876886aa0a32f5bade9f25632a26c6f183a.min.js	(from https://www.sport-spiegels.nl/)
14:21:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:41%20GMT	http://www.sport-spiegels.nl/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	(from https://www.sport-spiegels.nl/)
14:21:41	89797/89797	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Oct%202025%2020:59:08%20GMT	https://www.sport-spiegels.nl/cdn/s/trekkie.storefront.5ad93876886aa0a32f5bade9f25632a26c6f183a.min.js	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/s/trekkie.storefront.5ad93876886aa0a32f5bade9f25632a26c6f183a.min.js	(from https://www.sport-spiegels.nl/)
14:21:42	13852/13852	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2003%20Nov%202025%2006:12:08%20GMT	https://www.sport-spiegels.nl/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	(from https://www.sport-spiegels.nl/)
14:21:42	74562/74562	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2003%20Nov%202025%2006:12:08%20GMT	https://www.sport-spiegels.nl/cdn/shopifycloud/perf-kit/shopify-perf-kit-2.1.2.min.js	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shopifycloud/perf-kit/shopify-perf-kit-2.1.2.min.js	(from https://www.sport-spiegels.nl/)
14:21:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:42%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/quantity-popover.css?v=78745769908715669131717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/quantity-popover0716.css	(from https://www.sport-spiegels.nl/)
14:21:42	2968/2968	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Oct%202025%2002:06:29%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/quantity-popover.css?v=78745769908715669131717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/quantity-popover0716.css	(from https://www.sport-spiegels.nl/)
14:21:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:42%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-card.css?v=120341546515895839841717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-card574a.css	(from https://www.sport-spiegels.nl/)
14:21:43	11880/11880	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Nov%202025%2013:32:43%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-card.css?v=120341546515895839841717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-card574a.css	(from https://www.sport-spiegels.nl/)
14:21:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:43%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/cart.js?v=114940022928632645881717055715	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/cartce53.js	(from https://www.sport-spiegels.nl/)
14:21:43	6969/6969	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2024%20Oct%202025%2002:41:19%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/cart.js?v=114940022928632645881717055715	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/cartce53.js	(from https://www.sport-spiegels.nl/)
14:21:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:43%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/quantity-popover.js?v=987015268078116491717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/quantity-popover7e1a.js	(from https://www.sport-spiegels.nl/)
14:21:44	2775/2775	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2031%20Oct%202025%2007:51:05%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/quantity-popover.js?v=987015268078116491717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/quantity-popover7e1a.js	(from https://www.sport-spiegels.nl/)
14:21:44	356533/356533	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:d80f0885b1e24d456c2d5125dfad8a39%22	https://www.sport-spiegels.nl/collections/all	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/collections/all.html	(from https://www.sport-spiegels.nl/)
14:21:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:44%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-slideshow.css?v=41568389003077754171717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-slideshow2083.css	(from https://www.sport-spiegels.nl/)
14:21:46	90769/90769	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:bdba14a6070f668497e6c686f95a1e7f%22	https://www.sport-spiegels.nl/policies/shipping-policy	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/policies/shipping-policy.html	(from https://www.sport-spiegels.nl/)
14:21:46	3656/3656	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Oct%202025%2018:44:27%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-slideshow.css?v=41568389003077754171717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-slideshow2083.css	(from https://www.sport-spiegels.nl/)
14:21:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:46%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-slider.css?v=14039311878856620671717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-slidere289.css	(from https://www.sport-spiegels.nl/)
14:21:47	7910/7910	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Sep%202025%2000:01:51%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-slider.css?v=14039311878856620671717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-slidere289.css	(from https://www.sport-spiegels.nl/)
14:21:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:47%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-list-menu.css?v=151968516119678728991717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-list-menu53e6.css	(from https://www.sport-spiegels.nl/)
14:21:47	516/516	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Oct%202025%2022:10:47%20GMT	https://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-list-menu.css?v=151968516119678728991717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-list-menu53e6.css	(from https://www.sport-spiegels.nl/)
14:21:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2013:21:47%20GMT	http://www.sport-spiegels.nl/cdn/shop/t/2/assets/component-search.css?v=165164710990765432851717055716	C:/Users/xls/Downloads/sport-spiegels/www.sport-spiegels.nl/cdn/shop/t/2/assets/component-searchcb83.css	(from https://www.sport-spiegels.nl/)
